fn_id,source_field,target_field,semantic_score,context_signature,model_reason,human_decision (ACCEPT/REJECT/HOLD),human_comments,record_type,DecisionType,CanonicalNode,Track,EvidenceScore,EmbeddingSimilarity,NameSimilarity,HardVetoes,PromotionRule,AuditFlags,ExpectedSchemaTruth(bool)
TP_0001,INAmex.CardHolderName,PPVisa.cardholder,0.6822430267510532,,alias_hit_promotion:score=0.6822,,,TP,ACCEPT_MERGE,cardholder_name,discovery,0.6822430267510532,0.6635515050030092,0.0,,alias_overlap_promotion,,True
TP_0002,INAmex.CardHolderName,PPVisa.cardholder,0.6822430267510532,,alias_hit_promotion:score=0.6822,,,TP,ACCEPT_MERGE,cardholder_name,production,0.6822430267510532,0.6635515050030092,0.0,,alias_overlap_promotion,,True
TP_0003,INAmex.CardVerificationValue,PPVisa.cvv,0.810905888569577,,"cmnf_canonical_safe:score=0.8109,min_ev=0.8",,,TP,ACCEPT_MERGE,card_verification_value,discovery,0.810905888569577,0.6502073006749818,0.6666666666666666,,cmnf_canonical_safe_promotion,,True
TP_0004,INAmex.CardVerificationValue,PPVisa.cvv,0.810905888569577,,"cmnf_canonical_safe:score=0.8109,min_ev=0.8",,,TP,ACCEPT_MERGE,card_verification_value,production,0.810905888569577,0.6502073006749818,0.6666666666666666,,cmnf_canonical_safe_promotion,,True
TP_0005,INAmex.ExpirationDate,PPVisa.exp,0.893962160821743,,"cmnf_canonical_safe:score=0.8940,min_ev=0.85",,,TP,ACCEPT_MERGE,card_expiration_date,discovery,0.893962160821743,0.6970347452049799,1.0,,cmnf_canonical_safe_promotion,,True
TP_0006,INAmex.ExpirationDate,PPVisa.exp,0.893962160821743,,"cmnf_canonical_safe:score=0.8940,min_ev=0.85",,,TP,ACCEPT_MERGE,card_expiration_date,production,0.893962160821743,0.6970347452049799,1.0,,cmnf_canonical_safe_promotion,,True
TP_0007,INAmex.PrimaryAccountNumber,Mastercard.primary_account_number,0.9423870794878167,,"same_canon_same_family:score=0.9424,tau=0.72",,,TP,ACCEPT_MERGE,bank_account_number,discovery,0.9423870794878167,0.8353916556794763,1.0,,same_canonical_same_family_promotion,,True
TP_0008,INAmex.PrimaryAccountNumber,Mastercard.primary_account_number,0.9423870794878167,,"same_canon_same_family:score=0.9424,tau=0.72",,,TP,ACCEPT_MERGE,bank_account_number,production,0.9423870794878167,0.8353916556794763,1.0,,same_canonical_same_family_promotion,,True
TP_0009,INAmex.PrimaryAccountNumber,PPVisa.pan,0.8869325895797866,,"same_canon_same_family:score=0.8869,tau=0.72",,,TP,ACCEPT_MERGE,bank_account_number,discovery,0.8869325895797866,0.6769502559422473,1.0,,same_canonical_same_family_promotion,,True
TP_0010,INAmex.PrimaryAccountNumber,PPVisa.pan,0.8869325895797866,,"same_canon_same_family:score=0.8869,tau=0.72",,,TP,ACCEPT_MERGE,bank_account_number,production,0.8869325895797866,0.6769502559422473,1.0,,same_canonical_same_family_promotion,,True
TP_0011,ISO20022.currency,Plaid.currency,0.843383943654918,,"same_canon_same_family:score=0.8434,tau=0.72",,,TP,ACCEPT_MERGE,payment_currency,discovery,0.843383943654918,0.5525255532997656,1.0,,same_canonical_same_family_promotion,,True
TP_0012,ISO20022.currency,Plaid.currency,0.843383943654918,,"same_canon_same_family:score=0.8434,tau=0.72",,,TP,ACCEPT_MERGE,payment_currency,production,0.843383943654918,0.5525255532997656,1.0,,same_canonical_same_family_promotion,,True
