eval_scope,mode,predicted_pairs_count,true_pairs_count,TP,FP,FN,precision,labeled_precision,recall,F1,closed_world,absent_pairs_excluded_count,explicit_negative_veto_count,canonical_equivalence_pass_count,metadata_excluded_count
paper_main,embed_only_baseline,337,19,15,322,4,0.04451038575667656,0.04451038575667656,0.7894736842105263,0.08426966292134831,True,1,0,9,0
paper_main,sdnf_hybrid,32,19,17,15,2,0.53125,0.53125,0.8947368421052632,0.6666666666666666,True,1,13,10,0
paper_main,no_ecnf,340,19,18,322,1,0.052941176470588235,0.052941176470588235,0.9473684210526315,0.10027855153203342,True,1,0,10,0
paper_main,no_cmnf,36,19,17,19,2,0.4722222222222222,0.4722222222222222,0.8947368421052632,0.6181818181818182,True,1,0,10,0
paper_main,no_dbnf,36,19,17,19,2,0.4722222222222222,0.4722222222222222,0.8947368421052632,0.6181818181818182,True,1,0,10,0
paper_main,no_value_evidence,1,19,1,0,18,1.0,1.0,0.05263157894736842,0.1,True,1,0,1,0
paper_main,vss_only,1606,19,19,1587,0,0.011830635118306352,0.011830635118306352,1.0,0.023384615384615386,True,1,0,10,0
paper_main,shape_only,949,19,17,932,2,0.01791359325605901,0.01791359325605901,0.8947368421052632,0.03512396694214876,True,1,0,9,0
paper_main,name_ontology_only,9,19,9,0,10,1.0,1.0,0.47368421052631576,0.6428571428571429,True,1,0,8,0
paper_main,hybrid,32,19,17,15,2,0.53125,0.53125,0.8947368421052632,0.6666666666666666,True,1,13,10,0
